Met
Pi[s]
NH3[s]
sulfate[s]
Fe2+[s]
Fe3+[s]
Na+[s]
H+[s]
H2O[s]
H2O2[s]
NO[s]
CO2[s]
CoA[s]
O2-[s]
O2[s]
chloride[s]
Ca2+[s]
K+[s]
Mg2+[s]
nitrite[s]
citrate[s]
isocitrate[s]
histidine[s]
glutamate[s]
alanine[s]
arginine[s]
asparagine[s]
lysine[s]
phenylalanine[s]
aspartate[s]
serine[s]
glycine[s]
cystine[s]
isoleucine[s]
leucine[s]
methionine[s]
proline[s]
taurine[s]
threonine[s]
tryptophan[s]
tyrosine[s]
valine[s]
L-lactate[s]
D-lactate[s]
pyruvate[s]
glucose[s]
FADH2[c]
FAD[c]
NAD+[c]
NADPH[c]
NADP+[c]
ATP[c]
ADP[c]
AMP[c]
GDP[c]
GMP[c]
GTP[c]
